TICKER   PRICE      ATR      DEMAND_ZONE               SUPPLY_ZONE               GAP      D_SIZE   RATIO   
========================================================================================================================
ADSK     $228.38    $9.99    $194.47-$208.74           $194.47-$221.34           $-14.27  $14.27   0.000  
AMZN     $265.77    $10.12   $237.45-$244.06           $243.59-$258.08           $-0.47   $6.62    0.000  
ARE      $54.05     $2.05    $48.86-$53.03             $51.47-$55.14             $-1.56   $4.17    0.000  
BF.B     $28.19     $0.94    $25.27-$26.84             $26.45-$27.58             $-0.40   $1.57    0.000  
DAL      $81.69     $2.60    $75.99-$82.31             $80.93-$83.44             $-1.38   $6.32    0.000  
ED       $112.87    $2.07    $105.90-$108.57           $106.70-$109.02           $-1.87   $2.67    0.000  
ELV      $447.70    $9.80    $387.08-$396.89           $393.35-$426.98           $-3.54   $9.81    0.000  
FERG     $236.48    $7.82    $218.05-$229.01           $225.58-$237.57           $-3.43   $10.96   0.000  
FOXA     $71.35     $1.76    $51.14-$64.80             $53.24-$68.85             $-11.55  $13.66   0.000  
GEHC     $67.62     $2.48    $63.02-$65.00             $64.25-$72.04             $-0.75   $1.98    0.000  
GEV      $935.55    $54.45   $856.01-$920.52           $907.50-$987.22           $-13.02  $64.51   0.000  
GOOG     $343.24    $12.65   $314.89-$341.64           $339.71-$358.20           $-1.93   $26.75   0.000  
GOOGL    $343.29    $13.15   $314.90-$341.73           $340.20-$358.92           $-1.53   $26.83   0.000  
IBM      $261.87    $7.50    $211.03-$297.50           $267.68-$278.94           $-29.82  $86.47   0.000  
IR       $76.34     $2.64    $69.84-$74.68             $73.00-$79.42             $-1.69   $4.84    0.000  
JCI      $151.19    $4.46    $141.07-$148.78           $143.44-$149.38           $-5.34   $7.71    0.000  
KEYS     $343.35    $12.31   $323.19-$340.13           $339.40-$352.20           $-0.73   $16.94   0.000  
KR       $62.48     $1.61    $55.59-$61.27             $56.32-$64.06             $-4.95   $5.68    0.000  
LYV      $178.77    $4.77    $167.50-$175.00           $167.50-$175.00           $-7.50   $7.50    0.000  
LYB      $68.74     $2.49    $62.62-$64.93             $60.85-$67.91             $-4.08   $2.31    0.000  
PM       $204.74    $5.59    $179.16-$184.91           $181.12-$194.90           $-3.79   $5.75    0.000  
QQQ      $703.44    $14.14   $686.37-$711.28           $711.28-$744.76           $0.00    $24.91   0.000  
