DAILY REPORT - AGGRESSIVE SENSITIVITY
Generated: 2026-09-22 21:52:17
========================================================================================================================

TICKER   PRICE      ATR      DEMAND_ZONE               SUPPLY_ZONE               GAP      D_SIZE   RATIO   
========================================================================================================================
APO      $133.92    $3.93    $122.44-$131.47           $130.41-$141.51           $-1.06   $9.03    0.000  
FIX      $1711.50   $67.01   $1492.62-$1801.70         $1757.64-$1978.24         $-44.06  $309.08  0.000  
MRVL     $278.86    $13.54   $220.99-$233.61           $225.09-$291.27           $-8.52   $12.62   0.000  
NOW      $143.47    $6.18    $130.73-$134.62           $126.56-$149.56           $-8.06   $3.89    0.000  
CRWD     $260.76    $12.08   $205.47-$212.64           $731.33-$785.53           $518.69  $7.16    0.014  
ECHO     $101.22    $2.95    $85.36-$87.03             $132.33-$147.04           $45.30   $1.67    0.037  
CAH      $236.22    $5.37    $194.12-$196.84           $246.18-$249.21           $49.34   $2.72    0.055  
LII      $410.13    $11.79   $356.67-$366.12           $530.49-$539.58           $164.37  $9.45    0.057  
GRMN     $298.43    $6.07    $238.90-$242.87           $309.26-$313.67           $66.39   $3.97    0.060  
PNR      $59.59     $1.43    $55.34-$56.41             $72.76-$75.08             $16.35   $1.07    0.065  
BAC      $59.87     $1.58    $50.64-$51.49             $61.97-$62.91             $10.47   $0.85    0.082  
SNPS     $427.88    $13.63   $377.50-$386.25           $489.52-$539.31           $103.27  $8.75    0.085  
CDW      $153.81    $5.60    $107.95-$111.34           $149.99-$158.01           $38.65   $3.39    0.088  
GEN      $27.60     $0.92    $24.31-$24.82             $30.52-$31.41             $5.70    $0.51    0.089  
PAYX     $120.21    $2.61    $94.42-$96.98             $125.38-$127.91           $28.40   $2.56    0.090  
CINF     $176.05    $2.82    $156.65-$159.43           $189.23-$192.06           $29.80   $2.78    0.093  
EL       $105.23    $3.04    $83.97-$85.66             $103.00-$108.37           $17.34   $1.69    0.097  
CTSH     $61.65     $2.24    $43.19-$44.97             $63.14-$65.38             $18.17   $1.78    0.098  
ABNB     $170.84    $4.80    $149.58-$152.50           $180.29-$184.22           $27.79   $2.92    0.105  
APTV     $65.00     $2.74    $43.00-$45.29             $66.78-$78.48             $21.49   $2.29    0.107  
AJG      $241.10    $6.99    $199.74-$204.97           $253.88-$261.19           $48.91   $5.23    0.107  
BSX      $46.73     $1.52    $42.25-$43.72             $57.27-$58.49             $13.55   $1.47    0.108  
MU       $1149.87   $47.17   $918.16-$940.88           $1149.38-$1213.07         $208.50  $22.72   0.109  
VRTX     $541.69    $11.94   $433.00-$444.57           $549.28-$559.22           $104.71  $11.57   0.110  
GE       $333.75    $8.73    $281.38-$288.25           $350.29-$362.22           $62.05   $6.87    0.111  
HONA     $175.68    $6.01    $158.17-$169.36           $270.00-$272.50           $100.64  $11.19   0.111  
JNJ      $272.25    $4.76    $220.84-$225.29           $264.88-$274.81           $39.59   $4.45    0.112  
RTX      $201.28    $3.87    $172.59-$176.34           $209.69-$213.06           $33.34   $3.75    0.113  
