========================================================================================================================
FOUND ZONES - CONSOLIDATED REPORT
Generated: 2026-09-15 06:50:36
========================================================================================================================

Total Zones Found: 379
Sorted by: Distance to Demand Zone (closest first)

  1. ADI    | $  362.73 | Demand: $352.73-$376.73 | Supply: $406.40-$422.23 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.37 | Fresh: D✗S✓
  2. AIG    | $   76.32 | Demand: $74.27-$76.61 | Supply: $75.89-$78.04 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-0.21 | Fresh: D✗S✗
  3. ALAB   | $  273.00 | Demand: $244.61-$299.23 | Supply: $360.06-$398.13 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:3.07 | Fresh: D✗S✓
  4. ALGN   | $  152.76 | Demand: $149.49-$153.86 | Supply: $172.43-$182.59 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:6.02 | Fresh: D✗S✓
  5. ARM    | $  250.95 | Demand: $232.67-$261.90 | Supply: $344.68-$416.17 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.13 | Fresh: D✗S✓
  6. ASML   | $ 1587.16 | Demand: $1530.64-$1621.46 | Supply: $1839.00-$1913.70 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.46 | Fresh: D✗S✓
  7. BF.B   | $   26.26 | Demand: $25.27-$26.84 | Supply: $26.88-$27.36 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.62 | Fresh: D✗S✗
  8. BKR    | $   56.72 | Demand: $55.56-$59.42 | Supply: $62.56-$65.44 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.03 | Fresh: D✗S✓
  9. CCI    | $   72.50 | Demand: $69.72-$76.47 | Supply: $91.43-$93.65 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:6.81 | Fresh: D✗S✓
 10. CASY   | $  640.85 | Demand: $595.02-$730.30 | Supply: $890.00-$927.85 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:5.44 | Fresh: D✗S✓
 11. CIEN   | $  322.50 | Demand: $311.60-$328.85 | Supply: $424.33-$463.55 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:9.34 | Fresh: D✗S✓
