========================================================================================================================
FOUND ZONES - AGGRESSIVE SENSITIVITY
Generated: 2026-09-22 21:52:17
========================================================================================================================

Total Zones Found: 225
Sorted by: Distance to Demand Zone (closest first)

  1. CSGP   | $   30.03 | Demand: $28.18-$30.68 | Supply: $33.06-$34.56 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:1.64 | Fresh: D✗S✓
  2. EIX    | $   57.61 | Demand: $53.11-$69.05 | Supply: $79.08-$80.74 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.77 | Fresh: D✗S✓
  3. FIX    | $ 1711.50 | Demand: $1492.62-$1801.70 | Supply: $1757.64-$1978.24 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.21 | Fresh: D✗S✓
  4. HRL    | $   20.39 | Demand: $20.17-$20.75 | Supply: $24.48-$24.93 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:18.61 | Fresh: D✗S✓
  5. IWM    | $  287.11 | Demand: $277.63-$290.82 | Supply: $293.44-$296.18 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.67 | Fresh: D✗S✓
  6. PCG    | $   13.73 | Demand: $12.59-$14.79 | Supply: $16.21-$16.75 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.18 | Fresh: D✗S✓
  7. TTD    | $   13.21 | Demand: $12.83-$17.40 | Supply: $21.00-$23.57 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:20.51 | Fresh: D✗S✓
  8. JBL    | $  326.42 | Demand: $286.01-$325.83 | Supply: $346.06-$381.25 | Dist: $  0.59 (  5% ATR) [ ] | RR: 1:0.49 | Fresh: D✗S✓
  9. KVUE   | $   17.89 | Demand: $16.67-$17.18 | Supply: $19.27-$20.12 | Dist: $  0.71 (236% ATR) [ ] | RR: 1:1.13 | Fresh: D✓S✓
 10. XLF    | $   54.86 | Demand: $53.40-$54.02 | Supply: $55.44-$56.84 | Dist: $  0.84 (114% ATR) [ ] | RR: 1:0.40 | Fresh: D✓S✗
 11. CMCSA  | $   23.81 | Demand: $22.14-$22.80 | Supply: $24.82-$25.45 | Dist: $  1.01 (128% ATR) [ ] | RR: 1:0.60 | Fresh: D✗S✓
 12. XLB    | $   52.16 | Demand: $49.57-$50.86 | Supply: $51.33-$53.20 | Dist: $  1.30 (162% ATR) [ ] | RR: 1:-0.32 | Fresh: D✗S✗
 13. VICI   | $   25.43 | Demand: $23.72-$24.09 | Supply: $27.25-$28.18 | Dist: $  1.34 (281% ATR) [ ] | RR: 1:1.06 | Fresh: D✗S✓
 14. PPL    | $   35.07 | Demand: $33.21-$33.67 | Supply: $35.75-$36.47 | Dist: $  1.40 (236% ATR) [ ] | RR: 1:0.37 | Fresh: D✗S✓
 15. INVH   | $   28.75 | Demand: $26.84-$27.27 | Supply: $29.10-$30.11 | Dist: $  1.48 (287% ATR) [ ] | RR: 1:0.18 | Fresh: D✗S✓
 16. FLEX   | $  120.73 | Demand: $104.52-$119.19 | Supply: $139.42-$154.25 | Dist: $  1.54 ( 30% ATR) [ ] | RR: 1:1.15 | Fresh: D✗S✓
 17. DOC    | $   21.96 | Demand: $20.03-$20.39 | Supply: $22.15-$22.71 | Dist: $  1.57 (371% ATR) [ ] | RR: 1:0.10 | Fresh: D✗S✓
 18. KHC    | $   25.26 | Demand: $23.00-$23.57 | Supply: $23.60-$25.52 | Dist: $  1.69 (240% ATR) [ ] | RR: 1:-0.74 | Fresh: D✓S✗
 19. FE     | $   47.57 | Demand: $45.18-$45.75 | Supply: $47.35-$48.09 | Dist: $  1.82 (232% ATR) [ ] | RR: 1:-0.09 | Fresh: D✗S✗
 20. EXC    | $   44.62 | Demand: $42.23-$42.74 | Supply: $45.68-$46.51 | Dist: $  1.88 (238% ATR) [ ] | RR: 1:0.44 | Fresh: D✗S✓
 21. EEM    | $   69.14 | Demand: $66.57-$67.06 | Supply: $68.08-$70.86 | Dist: $  2.08 (206% ATR) [ ] | RR: 1:-0.41 | Fresh: D✓S✗
 22. MDLZ   | $   63.41 | Demand: $57.78-$61.22 | Supply: $61.57-$64.35 | Dist: $  2.19 (181% ATR) [ ] | RR: 1:-0.33 | Fresh: D✗S✗
 23. UBER   | $   73.78 | Demand: $68.64-$71.44 | Supply: $72.57-$75.98 | Dist: $  2.34 (110% ATR) [ ] | RR: 1:-0.24 | Fresh: D✗S✗
 24. APO    | $  133.92 | Demand: $122.44-$131.47 | Supply: $130.41-$141.51 | Dist: $  2.45 ( 62% ATR) [ ] | RR: 1:-0.31 | Fresh: D✗S✗
 25. O      | $   59.85 | Demand: $56.55-$57.31 | Supply: $62.88-$64.73 | Dist: $  2.54 (235% ATR) [ ] | RR: 1:0.92 | Fresh: D✗S✓
 26. RF     | $   31.50 | Demand: $28.29-$28.82 | Supply: $31.48-$32.47 | Dist: $  2.68 (337% ATR) [ ] | RR: 1:-0.01 | Fresh: D✗S✗
 27. PEG    | $   73.66 | Demand: $70.06-$70.94 | Supply: $75.47-$76.43 | Dist: $  2.72 (211% ATR) [ ] | RR: 1:0.50 | Fresh: D✗S✓
 28. BEN    | $   34.64 | Demand: $31.11-$31.92 | Supply: $35.33-$35.85 | Dist: $  2.72 (333% ATR) [ ] | RR: 1:0.20 | Fresh: D✓S✓
 29. CSX    | $   48.63 | Demand: $44.91-$45.91 | Supply: $50.99-$51.88 | Dist: $  2.72 (284% ATR) [ ] | RR: 1:0.63 | Fresh: D✗S✓
 30. GEN    | $   27.60 | Demand: $24.31-$24.82 | Supply: $30.52-$31.41 | Dist: $  2.79 (303% ATR) [ ] | RR: 1:0.89 | Fresh: D✓S✓
 31. CVNA   | $   69.35 | Demand: $62.93-$66.51 | Supply: $69.20-$76.45 | Dist: $  2.84 ( 94% ATR) [ ] | RR: 1:-0.02 | Fresh: D✗S✗
 32. TFC    | $   51.08 | Demand: $46.78-$48.22 | Supply: $50.93-$51.77 | Dist: $  2.86 (242% ATR) [ ] | RR: 1:-0.03 | Fresh: D✗S✗
 33. TSCO   | $   34.76 | Demand: $30.86-$31.90 | Supply: $34.98-$36.67 | Dist: $  2.86 (257% ATR) [ ] | RR: 1:0.06 | Fresh: D✗S✓
 34. BSX    | $   46.73 | Demand: $42.25-$43.72 | Supply: $57.27-$58.49 | Dist: $  3.01 (198% ATR) [ ] | RR: 1:2.35 | Fresh: D✗S✓
 35. PNR    | $   59.59 | Demand: $55.34-$56.41 | Supply: $72.76-$75.08 | Dist: $  3.18 (222% ATR) [ ] | RR: 1:3.10 | Fresh: D✗S✓
 36. AIG    | $   78.11 | Demand: $72.26-$74.85 | Supply: $76.96-$78.91 | Dist: $  3.26 (237% ATR) [ ] | RR: 1:-0.20 | Fresh: D✗S✗
 37. SO     | $   90.45 | Demand: $85.87-$87.04 | Supply: $92.48-$93.37 | Dist: $  3.41 (242% ATR) [ ] | RR: 1:0.44 | Fresh: D✗S✓
 38. AOS    | $   60.89 | Demand: $56.50-$57.46 | Supply: $61.66-$63.03 | Dist: $  3.43 (290% ATR) [ ] | RR: 1:0.18 | Fresh: D✗S✓
 39. BXP    | $   67.73 | Demand: $63.21-$64.30 | Supply: $68.14-$70.21 | Dist: $  3.44 (249% ATR) [ ] | RR: 1:0.09 | Fresh: D✗S✓
 40. T      | $   25.19 | Demand: $21.25-$21.70 | Supply: $25.08-$26.84 | Dist: $  3.49 (590% ATR) [ ] | RR: 1:-0.03 | Fresh: D✓S✗
 41. FITB   | $   57.11 | Demand: $52.72-$53.55 | Supply: $57.41-$58.46 | Dist: $  3.56 (282% ATR) [ ] | RR: 1:0.07 | Fresh: D✗S✓
 42. SYY    | $   83.43 | Demand: $78.50-$79.70 | Supply: $83.03-$85.28 | Dist: $  3.73 (200% ATR) [ ] | RR: 1:-0.08 | Fresh: D✗S✗
 43. SRE    | $   85.53 | Demand: $80.84-$81.71 | Supply: $88.37-$89.69 | Dist: $  3.82 (249% ATR) [ ] | RR: 1:0.61 | Fresh: D✗S✓
 44. NWSA   | $   30.84 | Demand: $26.32-$27.01 | Supply: $30.66-$31.66 | Dist: $  3.83 (535% ATR) [ ] | RR: 1:-0.04 | Fresh: D✓S✗
