========================================================================================================================
FOUND ZONES - BALANCED SENSITIVITY
Generated: 2026-09-23 06:35:35
========================================================================================================================

Total Zones Found: 120
Sorted by: Distance to Demand Zone (closest first)

  1. CVNA   | $   68.73 | Demand: $62.41-$69.14 | Supply: $69.06-$71.78 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.05 | Fresh: D✗S✓
  2. EME    | $  800.63 | Demand: $669.15-$835.16 | Supply: $796.99-$841.73 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:-0.03 | Fresh: D✗S✗
  3. EIX    | $   58.03 | Demand: $53.11-$69.05 | Supply: $79.08-$80.74 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:4.28 | Fresh: D✗S✓
  4. F      | $   13.06 | Demand: $12.72-$13.30 | Supply: $16.75-$17.78 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:10.85 | Fresh: D✗S✓
  5. FIX    | $ 1722.00 | Demand: $1492.62-$1801.70 | Supply: $1927.77-$1997.45 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.90 | Fresh: D✗S✓
  6. IBM    | $  235.11 | Demand: $211.03-$297.00 | Supply: $300.84-$332.40 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.73 | Fresh: D✗S✓
  7. INTU   | $  295.05 | Demand: $272.40-$295.89 | Supply: $302.38-$423.65 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:0.32 | Fresh: D✗S✗
  8. JBL    | $  307.72 | Demand: $286.01-$325.83 | Supply: $374.60-$398.46 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:3.08 | Fresh: D✗S✓
  9. PCG    | $   12.69 | Demand: $12.59-$14.79 | Supply: $13.54-$14.84 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:8.55 | Fresh: D✗S✓
 10. VRT    | $  250.72 | Demand: $220.99-$251.44 | Supply: $314.46-$366.73 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:2.14 | Fresh: D✗S✓
 11. VST    | $  139.15 | Demand: $137.97-$155.43 | Supply: $165.13-$168.93 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:22.02 | Fresh: D✗S✓
 12. TTD    | $   12.98 | Demand: $12.83-$14.57 | Supply: $20.05-$23.57 | Dist: $  0.00 (  0% ATR) [ ] | RR: 1:47.17 | Fresh: D✗S✓
 13. CMCSA  | $   23.81 | Demand: $21.29-$23.29 | Supply: $24.82-$25.45 | Dist: $  0.52 ( 66% ATR) [ ] | RR: 1:0.40 | Fresh: D✗S✓
 14. PDD    | $   79.30 | Demand: $75.53-$77.78 | Supply: $81.28-$82.59 | Dist: $  1.52 ( 91% ATR) [✓] | RR: 1:0.52 | Fresh: D✓S✓
 15. KR     | $   59.15 | Demand: $56.37-$57.37 | Supply: $63.62-$65.01 | Dist: $  1.78 (122% ATR) [ ] | RR: 1:1.61 | Fresh: D✓S✓
 16. RF     | $   29.19 | Demand: $26.70-$27.14 | Supply: $31.55-$31.96 | Dist: $  2.05 (318% ATR) [ ] | RR: 1:0.95 | Fresh: D✓S✓
 17. CMG    | $   34.75 | Demand: $30.45-$32.41 | Supply: $35.66-$36.63 | Dist: $  2.34 (198% ATR) [ ] | RR: 1:0.21 | Fresh: D✓S✓
 18. GEN    | $   27.17 | Demand: $24.31-$24.82 | Supply: $30.52-$31.41 | Dist: $  2.36 (256% ATR) [ ] | RR: 1:1.17 | Fresh: D✓S✓
 19. FITB   | $   52.74 | Demand: $49.36-$50.14 | Supply: $57.78-$58.46 | Dist: $  2.60 (264% ATR) [ ] | RR: 1:1.49 | Fresh: D✓S✓
 20. VZ     | $   46.59 | Demand: $42.91-$43.87 | Supply: $50.94-$51.66 | Dist: $  2.73 (273% ATR) [ ] | RR: 1:1.18 | Fresh: D✓S✓
 21. USB    | $   59.14 | Demand: $55.19-$56.05 | Supply: $62.26-$63.33 | Dist: $  3.09 (276% ATR) [ ] | RR: 1:0.79 | Fresh: D✓S✓
 22. REG    | $   77.05 | Demand: $72.52-$73.42 | Supply: $79.77-$80.69 | Dist: $  3.63 (310% ATR) [ ] | RR: 1:0.60 | Fresh: D✗S✓
 23. WEC    | $  107.83 | Demand: $102.91-$104.09 | Supply: $109.46-$110.61 | Dist: $  3.74 (223% ATR) [ ] | RR: 1:0.33 | Fresh: D✗S✓
 24. GEHC   | $   66.50 | Demand: $60.22-$62.69 | Supply: $70.28-$71.67 | Dist: $  3.81 (246% ATR) [ ] | RR: 1:0.60 | Fresh: D✓S✓
 25. SLB    | $   52.19 | Demand: $46.43-$48.00 | Supply: $54.84-$60.46 | Dist: $  4.19 (245% ATR) [ ] | RR: 1:0.46 | Fresh: D✓S✓
 26. RKLB   | $   72.57 | Demand: $58.21-$68.24 | Supply: $121.00-$135.41 | Dist: $  4.33 (131% ATR) [ ] | RR: 1:3.37 | Fresh: D✗S✓
 27. SLV    | $   58.70 | Demand: $53.60-$54.26 | Supply: $66.15-$67.71 | Dist: $  4.44 (251% ATR) [ ] | RR: 1:1.46 | Fresh: D✓S✓
 28. KKR    | $  103.02 | Demand: $94.13-$98.00 | Supply: $109.25-$116.50 | Dist: $  5.02 (152% ATR) [ ] | RR: 1:0.70 | Fresh: D✗S✓
 29. KMB    | $  104.69 | Demand: $97.45-$99.31 | Supply: $106.78-$108.81 | Dist: $  5.38 (220% ATR) [ ] | RR: 1:0.29 | Fresh: D✗S✓
 30. IR     | $   78.41 | Demand: $71.57-$72.89 | Supply: $86.97-$90.35 | Dist: $  5.52 (279% ATR) [ ] | RR: 1:1.25 | Fresh: D✗S✓
 31. EFX    | $  165.97 | Demand: $151.70-$159.83 | Supply: $184.05-$189.91 | Dist: $  6.14 (102% ATR) [ ] | RR: 1:1.27 | Fresh: D✗S✓
 32. ZBH    | $   96.42 | Demand: $87.94-$89.91 | Supply: $99.23-$101.31 | Dist: $  6.51 (218% ATR) [ ] | RR: 1:0.33 | Fresh: D✓S✓
 33. CNC    | $   67.39 | Demand: $56.80-$59.88 | Supply: $65.91-$69.39 | Dist: $  7.51 (294% ATR) [ ] | RR: 1:-0.14 | Fresh: D✓S✗
 34. HPQ    | $   32.46 | Demand: $24.02-$24.89 | Supply: $33.42-$36.23 | Dist: $  7.57 (459% ATR) [ ] | RR: 1:0.11 | Fresh: D✓S✗
 35. KO     | $   90.51 | Demand: $81.31-$82.39 | Supply: $91.31-$92.48 | Dist: $  8.12 (661% ATR) [ ] | RR: 1:0.09 | Fresh: D✓S✓
 36. CRWV   | $   88.78 | Demand: $72.09-$80.58 | Supply: $118.82-$132.00 | Dist: $  8.20 (149% ATR) [ ] | RR: 1:1.80 | Fresh: D✓S✓
